#
# Female Routing
#
LFSexytimesFemale1T;In The Bedroom;;;;;;;;;;;;;x
LFSexytimesFemale4FemOral;[lf_sex_partner.GetFirstName] lays down on the bed and spreads her legs, revealing her already-wet flower to me. "Eat me, pet," my Mistress orders, "and make it good."\n  "Yes, my Mistress," I submissively reply before climbing onto the bed with her and move my head between her legs. The scent of her nectar is almost intoxicating, but I manage to keep my wits about me as I look up to [lf_sex_partner.GetFirstName], seeking approval. My Mistress, impatient with her pet, grabs my hair and forces my lips down onto her pussy. My mouth clamps down on her tiny nub, causing her to gasp in pleasure as my teeth slowly and softly stimulates it. Not satisfied with just her clit, I extend my tongue to explore the folds of [lf_sex_partner.GetFirstName]'s flower before thrusting itself inside. Soon my fingers reach down to fondle my own pussy, unbeknownst to my Mistress.\n  The feeling of my tongue curling up to touch her special place, combined with my free hand digging into the flesh of her thighs, is just too much for her, and she howls out in orgasm, coating my mouth in her juices.\n  I slow down the suckling to allow her body to calm itself down, before taking my tongue out and lapping up the remaining evidence of our copulation.\n  "You did well, my little pet."\n  I am thankful for my Mistress's approval.;;;;;;;;;;;;;x
LFSexytimesFemale4FutaOral1;[lf_sex_partner.GetFirstName] grabs my arms and pushes me down to my knees, my head just inches away from her erect shaft. "Service me, pet," my Mistress orders.\n  "Yes, my Mistress," I submissively reply before taking one hand onto her cock and licking the tip, tasting the pre-cum leaking out. My Mistress, impatient with her pet, grabs my hair and thrusts her hips forward, forcing the entire cock into my mouth. As she starts to rhythmically thrust into my throat, I start to explore her feminine folds- underneath the cock- with my fingers. This elicits a moan from [lf_sex_partner.GetFirstName], indicating that I'm doing a good job. Unbeknownst to my Mistress, my free hand moves down between my legs to gently rub my own flower.\n  The feeling of my tongue curling around her shaft with every thrust, combined with my fingers exploring deep within her pussy, is just too much for her, and my Mistress howls out in orgasm. Both of her hands grip my head hard as she pushes her hips in until her cock is as deep as it can go, filling my throat and my belly with her seed. At last, [lf_sex_partner.GetFirstName] pulls herself off me, giving me a chance to breathe- and swallow.\n  "You did well, my little pet."\n  I am thankful for my Mistress's approval.;;;;;;;;;;;;;x
LFSexytimesFemale4FutaOral2;[lf_sex_partner.GetFirstName] grabs my arms and pushes me down to my knees, my head just inches away from her erect shaft. "Service me, pet," my Mistress orders.\n  "Yes, my Mistress," I submissively reply before taking one hand onto her cock and licking the tip, tasting the pre-cum leaking out. My Mistress, impatient with her pet, grabs my hair and thrusts her hips forward, forcing the entire cock into my mouth. As she starts to rhythmically thrust into my throat, I start to explore her feminine folds- underneath the cock- with my fingers. This elicits a moan from [lf_sex_partner.GetFirstName], indicating that I'm doing a good job. Unbeknownst to my Mistress, my free hand moves down between my legs to gently rub my own flower.\n  The feeling of my tongue curling around her shaft with every thrust, combined with my fingers exploring deep within her pussy, is just too much for her, and my Mistress howls out in orgasm. Both of her hands grip my head hard as she pulls me away, shooting her seed onto my face and breasts. I look up at my Mistress with a cum-soaked smile.\n  "You did well, my little pet."\n  I am thankful for my Mistress's approval.;;;;;;;;;;;;;x
LFSexytimesFemale4MaleOral1;[lf_sex_partner.GetFirstName] grabs my arms and pushes me down to my knees, my head just inches away from his erect shaft. "Service me, pet," my Master orders.\n  "Yes, my Master," I submissively reply before taking one hand onto his cock and licking the tip, tasting the pre-cum leaking out. My Master, impatient with his pet, grabs my hair and thrusts his hips forward, forcing the entire cock into my mouth. As he starts to rhythmically thrust into my throat, I start to fondle his sack with my fingers. This elicits a moan from [lf_sex_partner.GetFirstName], indicating that I'm doing a good job. Unbeknownst to my Master, my free hand moves down between my legs to gently rub my own sex.\n  The feeling of my tongue curling around his shaft with every thrust, combined with my fingers groping and grasping his balls, is just too much for him, and my Master howls out in orgasm. Both of his hands grip my head hard as he pushes his hips in until his cock is as deep as it can go, filling my throat and my belly with his seed. At last, [lf_sex_partner.GetFirstName] pulls himself off me, giving me a chance to breathe- and swallow.\n  "You did well, my little pet."\n  I am thankful for my Master's approval.;;;;;;;;;;;;;x
LFSexytimesFemale4MaleOral2;[lf_sex_partner.GetFirstName] grabs my arms and pushes me down to my knees, my head just inches away from his erect shaft. "Service me, pet," my Master orders.\n  "Yes, my Master," I submissively reply before taking one hand onto his cock and licking the tip, tasting the pre-cum leaking out. My Master, impatient with his pet, grabs my hair and thrusts his hips forward, forcing the entire cock into my mouth. As he starts to rhythmically thrust into my throat, I start to fondle his sack with my fingers. This elicits a moan from [lf_sex_partner.GetFirstName], indicating that I'm doing a good job. Unbeknownst to my Master, my free hand moves down between my legs to gently rub my own sex.\n  The feeling of my tongue curling around his shaft with every thrust, combined with my fingers groping and grasping his balls, is just too much for him, and my Master howls out in orgasm. Both of his hands grip my head hard as he pulls me away, shooting his seed onto my face and breasts. I look up at my Master with a cum-soaked smile.\n  "You did well, my little pet."\n  I am thankful for my Master's approval.;;;;;;;;;;;;;x
LFSexytimesFemale4FutaAnal;[lf_sex_partner.GetFirstName] growls into my ear and pushes me down onto the bed. "Ass up, pet!" she commands. I could do no other than to serve my Mistress, so I comply, rolling over onto my stomach and pushing my rear into the air with my legs spread. From this position, I cant see what my Mistress is doing, but I can certainly feel her. [lf_sex_partner.GetFirstName]'s shaft rubs lovingly against my wet slit, and I fully expected to be penetrated and used by my Mistress. What came next was a surprise, as I could no longer feel her cock rubbing against my flower. A moment later, I feel a painful pressure against my other hole, and- with one swift thrust- her cock penetrates the depths of my bowels. I bite down on a nearby pillow to get my mind off of the initial pain, and eventually the pain subsides enough that the sensation starts to turn pleasurable.\n  [lf_sex_partner.GetFirstName] pulls on my hair with one hand to steady herself while she pumps her shaft in and out of my taint. With a few forceful slaps onto my jiggling ass cheeks, my Mistress reinforces the notion that I am just a mere toy to her whims... a notion that I fully embrace and love. My Mistress can do me no wrong, even when she is hurting me. In fact, the pain and dominance over my body makes it all the more sexy. After what feels like eternity of my body being used as a cocksleave for her, [lf_sex_partner.GetFirstName] speeds up her thrusts, and I can feel the swelling of her shaft. Her orgasm rips through my body, causing my own explosion. When all is said and done, my Mistress lays down on top of me, still buried to the hilt. As she gently strokes my hair, I can feel the glistening sweat on her body melting with my own.\n  "You did well, my little pet."\n  I am thankful for my Master's approval.;;;;;;;;;;;;;x
LFSexytimesFemale4MaleAnal;[lf_sex_partner.GetFirstName] growls into my ear and pushes me down onto the bed. "Ass up, pet!" he commands. I could do no other than to serve my Master, so I comply, rolling over onto my stomach and pushing my rear into the air with my legs spread. From this position, I cant see what my Master is doing, but I can certainly feel him. [lf_sex_partner.GetFirstName]'s shaft rubs lovingly against my wet slit, and I fully expected to be penetrated and used by my Master. What came next was a surprise, as I could no longer feel his cock rubbing against my flower. A moment later, I feel a painful pressure against my other hole, and- with one swift thrust- his cock penetrates the depths of my bowels. I bite down on a nearby pillow to get my mind off of the initial pain, and eventually the pain subsides enough that the sensation starts to turn pleasurable.\n  [lf_sex_partner.GetFirstName] pulls on my hair with one hand to steady himself while he pumps his shaft in and out of my taint. With a few forceful slaps onto my jiggling ass cheeks, my Master reinforces the notion that I am just a mere toy to his whims... a notion that I fully embrace and love. My Master can do me no wrong, even when he is hurting me. In fact, the pain and dominance over my body makes it all the more sexy. After what feels like eternity of my body being used as a cocksleave for him, [lf_sex_partner.GetFirstName] speeds up his thrusts, and I can feel the swelling of her shaft. His orgasm rips through my body, causing my own explosion. When all is said and done, [lf_sex_partner.GetFirstName] lays down on top of me, still buried to the hilt. As he gently strokes my hair, I can feel the glistening sweat on his body melting with my own.\n  "You did well, my little pet."\n  I am thankful for my Master's approval.;;;;;;;;;;;;;x
LFSexytimesFemale4FutaMiss;[lf_sex_partner.GetFirstName] smirks, and with a growl quickly pushes me down onto the bed. "Arms above your head, pet!" She demands. Wanting nothing more than to please my Mistress, I do so eagerly stretching my arms out and crossing them at the wrists in the way I was trained to. Able to see my Mistress clearly now, I watch then with anticipation as she takes one hand and firmly grips both wrists effectively pinning them above my head, preventing me from moving. With a smirk, [lf_sex_partner.GetFirstName] then slides her hand between my legs, and with a grunt, I quickly spread them to allow for easier access. Running her fingers against my puffy lower lips, she then teases me mercilessly as I wiggle in her grip only to- when I am at the brink of madness- replace her dextrous, taunting fingers with the length of her shaft. Thankfully however, my Mistress' does not tease me with her shaft long, and after sliding down so that the head of her cock is pressed firmly against my opening she fills me to the hilt forcing me to bite my lip to keep from crying out. Only giving me a moment then to prepare, [lf_sex_partner.GetFirstName] begins to mercilessly thrust her cock into my quivering flower, my arms still firmly pinned above my head. My Mistress' free hand then finds its way swiftly to my bare breasts, and with another growl- this time of lust- she begins to pinch and tug upon the nipples roughly adding a layer of pain to the pleasure. This domination by my Mistress serves to remind me that I am nothing more than her toy for her every whim, and it is a fact that I fully embrace... even love. My Mistress, can do me no wrong, taking from me what she wants to give me what I need. After what feels like an eternity of being roughly penetrated, and dominated, the speed of [lf_sex_partner.GetFirstName]'s thrusts increases, and her soft grunts transition to softer moans as I feel her throbbing cock swells inside me.;;;;;;;;;;;;;x
LFSexytimesFemale4MaleMiss;[lf_sex_partner.GetFirstName] smirks, and with a growl quickly puhes me down onto the bed. "Arms above your head, pet!" He demands. Wanting nothing more than to please my Master, I do so eagerly stretching my arms out and crossing them at the wrists in the way I was trained to. Able to see my Master clearly now, I watch then with anticipation as he takes one hand and firmly grips both wrists effectively pinning them above my head, preventing me from moving. With a smirk, [lf_sex_partner.GetFirstName] then slides his hand between my legs, and with a grunt, I quickly spread them to allow for easier access. Running his fingers against my puffy lower lips, he then teases me mercilessly as I wiggle in his grip only to- when I am at the brink of madness- replace his dextrous, taunting fingers with the length of his shaft. Thankfully however, my Master does not tease me with his shaft long, and after sliding down so that the head of his cock is pressed firmly against my opening he fills me to the hilt forcing me to bite my lip to keep from crying out. Only giving me a moment then to prepare, [lf_sex_partner.GetFirstName] begins to mercilessly thrust his cock into my quivering flower, my arms still firmly pinned above my head. My Master's free hand then finds its way swiftly to my bare breasts, and with another growl- this time of lust- he begins to pinch and tug upon the nipples roughly adding a layer of pain to the pleasure. This domination by my Master serves to remind me that I am nothing more than his toy for his every whim, and it is a fact that I fully embrace... even love. My Master can do me no wrong, taking from me what he wants to give me what I need. After what feels like an eternity of being roughly penetrated, and dominated, the speed of [lf_sex_partner.GetFirstName]'s thrusts increases, and his soft grunts transition to softer moans as I feel his throbbing cock swells inside me.;;;;;;;;;;;;;x
LFSexytimesFemale4FutaDog;[lf_sex_partner.GetFirstName] says nothing, before pushing me down forcefully onto the bed. "On your knees then, pet !" She orders me. Eager to comply with my Mistress' demand, I turn over on my stomach before getting up onto my hands and knees. I feel nothing, for a heartbeat, only for [lf_sex_partner.GetFirstName]'s hands to grip each side of my rump firmly so she could press her shaft between my legs and coat it with the nectar from my already dripping flower. There is a moment's hesitation then from the Mistress, almost as if she is deciding what to do. Yet passes quickly, and with a growl, she draws back and without any warning at all penetrates me to the hilt. Biting down on a pillow to stifle my cry, the pleasure is immediate then as [lf_sex_partner.GetFirstName] wastes no time in beginning to thrust, the sound of flesh on flesh echoing through the bedchamber each time she bottoms out. Before long, I feel the sting of her hand striking the flesh of my ass, as she continues to ride me and the pain that begins to mix with the pleasure I was already feeling is almost mind-numbing. Despite the pain however, I know that my Mistress can do me no wrong, and while I am little more than a toy for her to use to sate her lust, she gives me what I need... and I love her all the more for it. After what feels like an eternity of being blissfully penetrated, and dominated in this way I feel it as [lf_sex_partner.GetFirstName]'s speeds up her thrusts. Her breathing not soon after this becomes heavy, and my- now bright-red- ass cheeks are thankful when she breaks off from slapping, so she can grip them firmly instead. her throbbing shaft swelling inside my now well-abused flower.;;;;;;;;;;;;;x
LFSexytimesFemale4MaleDog;[lf_sex_partner.GetFirstName] says nothing, before pushing me down forcefully onto the bed. "On your knees, pet!" he orders me. Eager to comply with my Master's demand, I turn over on my stomach before getting up onto my hands and knees. I feel nothing for a moment, only for [lf_sex_partner.GetFirstName]'s hands to grip each side of my rump firmly so he could press his shaft between my legs and coat it with the nectar from my already dripping flower. There is a moment's hesitation from my Master, almost as if he is deciding what to do. Yet it passes quickly, and- with a growl- he draws back and without any warning at all penetrates me to the hilt. Biting down on a pillow to stifle my cry, the pleasure is immediate then as [lf_sex_partner.GetFirstName] wastes no time in beginning to thrust, the sound of flesh on flesh echoing through the bedchamber each time he bottoms out. Before long, I feel the sting of his hand striking the flesh of my ass, as he continues to ride me and the pain that begins to mix with the pleasure I was already feeling is almost mind-numbing. Despite the pain however, I know that my Master can do me no wrong, and while I am little more than a toy for his to use to sate his lust, he gives me what I need... and I love his all the more for it. After what feels like an eternity of being blissfully penetrated, and dominated in this way I feel it as [lf_sex_partner.GetFirstName]'s speeds up his thrusts. his breathing not soon after this becomes heavy, and my- now bright red- ass cheeks are thankful when he breaks off from slapping, so he can grip them firmly instead, his throbbing shaft swelling inside my now well-abused flower.;;;;;;;;;;;;;x
LFSexytimes4TTA;"Thank you, [lf_sex_partner.GetMasterMistress].";;;;;;;;;;;;;x
LFSexytimes4TTB;"Don't cum in me, [lf_sex_partner.GetMasterMistress]!";;;;;;;;;;;;;x
LFSexytimes4TTC;"Please cum in me, [lf_sex_partner.GetMasterMistress]!";;;;;;;;;;;;;x
LFSexytimes4TTCustom;Your [lf_sex_partner.GetMasterMistress] will decide if [lf_sex_partner.GetSheHe] will cum in you or not.;;;;;;;;;;;;;x
#
# Female Sub, Dom cums in you. Refused = You asked to pull out. Complied = You asked to be filled. 
#
LFSexytimesFemale5Refused;"You have no say in what I do, pet," [lf_sex_partner.GetFirstName] growls in my ear. "Your body is mine to use as I see fit."\n\n  [lf_sex_partner.GetSheHeCap] takes hold of my waist, letting out a low groan as [lf_sex_partner.GetSheHe] prepares to reach [lf_sex_partner.GetHerHis] climax. Ramming [lf_sex_partner.GetHerHis] throbbing cock deep into my stretched open pussy, my [lf_sex_partner.GetMasterMistress] lets out a low grunt as the shaft starts to twitch inside of you. As my [lf_sex_partner.GetMasterMistress] tenses up, [lf_sex_partner.GetHerHis] cum spurts out deep into my waiting womb, painting my insides.\n  The feeling of the new warmth inside me, combined with my [lf_sex_partner.GetMasterMistress] forcefully pushing [lf_sex_partner.GetHerselfHimself] to the hilt, triggers my own orgasm. It takes a few moments before my mind is clear enough to speak, but by then the deed is already done. I'm left looking up at my [lf_sex_partner.GetMasterMistress] with a scowl on my face.;;;;;;;;;;;;;x
LFSexytimesFemale5Complied;"Of course, my pet," [lf_sex_partner.GetFirstName] growls in my ear. "You are fit to be bred."\n\n  [lf_sex_partner.GetSheHeCap] takes hold of my waist, letting out a low groan as [lf_sex_partner.GetSheHe] prepares to reach [lf_sex_partner.GetHerHis] climax. Ramming [lf_sex_partner.GetHerHis] throbbing cock deep into my stretched open pussy, my [lf_sex_partner.GetMasterMistress] lets out a low grunt as the shaft starts to twitch inside of you. As my [lf_sex_partner.GetMasterMistress] tenses up, [lf_sex_partner.GetHerHis] cum spurts out deep into my waiting womb, painting my insides.\n  The feeling of the new warmth inside me, combined with my [lf_sex_partner.GetMasterMistress] forcefully pushing [lf_sex_partner.GetHerselfHimself] to the hilt, triggers my own orgasm. It takes a few moments before my mind is clear enough to speak, but by then the deed is already done. I look up at my [lf_sex_partner.GetMasterMistress] with a smile on my face.;;;;;;;;;;;;;x
LFSexytimesFemale5TTA;"Thank you, [lf_sex_partner.GetMasterMistress].";;;;;;;;;;;;;x
LFSexytimesFemale5TTB;"You are such an asshole, [lf_sex_partner.GetMasterMistress].";;;;;;;;;;;;;x
#
# Female Sub, Dom pulls out. Refused = You asked to be filled. Complied = You asked to pull out. 
#
LFSexytimesFemale6Refused;"You have no say in what I do, pet," [lf_sex_partner.GetFirstName] growls in my ear. "Your body is mine to use as I see fit."\n\n  [lf_sex_partner.GetSheHeCap] takes hold of my waist, pulling me back into her groin and letting out a lewd cry. All of a sudden, [lf_sex_partner.GetSheHe] pulls back, the erect shaft slipping out of my flower before reaching down and starting to furiously masturbate- [lf_sex_partner.GetHerHis] hand sliding down the length of [lf_sex_partner.GetHerHis] cock to bump against [lf_sex_partner.GetHerHis] base, before quickly rising back up to the head. [lf_sex_partner.GetHerHisCap] white cum shoots out of the tip and paints my body.\n  I was already close, so the feeling of the new warmth on my skin triggers my own orgasm. It takes a few moments before my mind is clear enough to speak, but by then the deed is already done. I'm left looking up at my [lf_sex_partner.GetMasterMistress] with a scowl on my face.;;;;;;;;;;;;;x;;;;;;;;;;;;;x
LFSexytimesFemale6Complied;"Of course, my pet," [lf_sex_partner.GetFirstName] growls in my ear. "We don't want any children ruining our fun."\n\n  [lf_sex_partner.GetSheHeCap] takes hold of my waist, pulling me back into her groin and letting out a lewd cry. All of a sudden, [lf_sex_partner.GetSheHe] pulls back, the erect shaft slipping out of my flower before reaching down and starting to furiously masturbate- [lf_sex_partner.GetHerHis] hand sliding down the length of [lf_sex_partner.GetHerHis] cock to bump against [lf_sex_partner.GetHerHis] base, before quickly rising back up to the head. [lf_sex_partner.GetHerHisCap] white cum shoots out of the tip and paints my body.\n  I was already close, so the feeling of the new warmth on my skin triggers my own orgasm. It takes a few moments before my mind is clear enough to speak. I look up at my [lf_sex_partner.GetMasterMistress] with a smile on my face.;;;;;;;;;;;;;x
LFSexytimesFemale6TTA;"Thank you, [lf_sex_partner.GetMasterMistress].";;;;;;;;;;;;;x
LFSexytimesFemale6TTB;"You are such an asshole, [lf_sex_partner.GetMasterMistress].";;;;;;;;;;;;;x
#
# Female Dom, Results
#
LFSexytimesFemale7FemOral;I push [lf_sex_partner.GetFirstName] down onto her knees. She looks up at me with those submissive eyes that I always love. "Eat me, pet," I order, spreading my stance a little bit so she can access my pussy, "and make it good."\n  "Yes, my Mistress," she submissively replies before moving her head between my legs. She takes in an experimental whiff, intoxicating herself on my scent, before looking up to me to seek my approval. Impatient with the pet, my hands grab her hair and force her lips onto my pussy. [lf_sex_partner.GetFirstName]'s mouth clamps down on my tiny nub, causing me to gasp in pleasure as my pet's teeth slowly and softly stimulates it. Apparently not satisfied with just my clit, she extends her tongue to explore the folds of my flower before thrusting itself inside. While my pet eats, I notice that one of her hands reach down to fondle her own pussy. I am not a harsh Mistress, so I allow my pet this simple pleasure of hers.\n  The feeling of her tongue curling up to touch my special place, combined with her free hand digging into the flesh of my thighs, is just too much for me and I howl out in orgasm, coating my pet's mouth in my juices. My pet, in turn, strokes herself to completion.\n  [lf_sex_partner.GetFirstName] slows down the suckling to allow my body to calm itself down, before taking her tongue out and lapping up the remaining evidence of our copulation.\n  "You did well, my little pet."\n  My pet returns the praise with a simple smile.;;;;;;;;;;;;;x
LFSexytimesFemale7FutaOral;I push [lf_sex_partner.GetFirstName] down onto her knees. She looks up at me with those submissive eyes that I always love. "Eat me, pet," I order, spreading my stance a little bit so she can access my pussy, "and make it good."\n  "Yes, my Mistress," she submissively replies before moving her head between my legs. She takes in an experimental whiff, intoxicating herself on my scent, before looking up to me to seek my approval. Impatient with the pet, my hands grab her hair and force her lips onto my pussy. [lf_sex_partner.GetFirstName]'s mouth clamps down on my tiny nub, causing me to gasp in pleasure as my pet's teeth slowly and softly stimulates it. Apparently not satisfied with just my clit, she extends her tongue to explore the folds of my flower before thrusting itself inside. While my pet eats, I notice that one of her hands reach down to stroke her cock. I am not a harsh Mistress, so I allow my pet this simple pleasure of hers.\n  The feeling of her tongue curling up to touch my special place, combined with her free hand digging into the flesh of my thighs, is just too much for me and I howl out in orgasm, coating my pet's mouth in my juices. My pet, in turn, strokes herself to completion, coating the floor with her cum.\n  [lf_sex_partner.GetFirstName] slows down the suckling to allow my body to calm itself down, before taking her tongue out and lapping up the remaining evidence of our copulation.\n  "You did well, my little pet."\n  My pet returns the praise with a simple smile.;;;;;;;;;;;;;x
LFSexytimesFemale7MaleOral;I push [lf_sex_partner.GetFirstName] down onto his knees. He looks up at me with those submissive eyes that I always love. "Eat me, pet," I order, spreading my stance a little bit so he can access my pussy, "and make it good."\n  "Yes, my Mistress," he submissively replies before moving his head between my legs. He takes in an experimental whiff, intoxicating himself on my scent, before looking up to me to seek my approval. Impatient with the pet, my hands grab his head and force his lips onto my pussy. [lf_sex_partner.GetFirstName]'s mouth clamps down on my tiny nub, causing me to gasp in pleasure as my pet's teeth slowly and softly stimulates it. Apparently not satisfied with just my clit, he extends his tongue to explore the folds of my flower before thrusting itself inside. While my pet eats, I notice that one of his hands reach down to stroke his cock. I am not a harsh Mistress, so I allow my pet this simple pleasure of his.\n  The feeling of his tongue curling up to touch my special place, combined with his free hand digging into the flesh of my thighs, is just too much for me and I howl out in orgasm, coating my pet's mouth in my juices. My pet, in turn, strokes himself to completion, coating the floor with his cum.\n  [lf_sex_partner.GetFirstName] slows down the suckling to allow my body to calm itself down, before taking his tongue out and lapping up the remaining evidence of our copulation.\n  "You did well, my little pet."\n  My pet returns the praise with a simple smile.;;;;;;;;;;;;;x
LFSexytimesFemale7FutaAnal;I push [lf_sex_partner.GetFirstName] onto the bed and climb on top of her. Gliding up her body, my breasts mingle with her own, sending a ripple of pleasure up my spine. She looks up at me with those submissive eyes that I always love. Grabbing a handful of her soft flesh, I roll and play with her nipples using my thumbs as her erect shaft prods and pokes at my wet slit. I am content to tease my pet just a little longer, letting her cock lubricate itself on my juices. Just as she expects me to sink down and let my folds engulf her, I pull back to sit upright, and give my pet a knowing smirk. Reaching back with one hand- the other hand still toying with her breast, I wrap my fingers around her cock and guide it to my other hole. My cheeks spread easily from the already wet cock, and- with one swift downward thrust- penetrate myself onto my pet. The pain of being taken in the ass swiftly subsides, and only pleasure remains.\n  "Fuck me, pet," I command as my fingers move down from [lf_sex_partner.GetFirstName]'s shaft to her own pussy. A groan slips from the lips of my little lover, and soon her hands reach up to grasp and grope my breasts while she bucks her hips. The sensation of being filled is good enough that I allow my pet to roam and explore my body, so long as she continues being a good girl.\n  After what feels like an eternity of roughly riding my little submissive pet, I can hear her breaths getting quicker, and it isn't too long before my own orgasm starts to hit. We both explode in unison, with her cock painting my insides white with her creamy seed. Exhausted, I collapse upon [lf_sex_partner.GetFirstName]'s chest- her cock still buried to the hilt- and give her a gentle stroke on the cheek with a finger.\n  "You did well, my little pet."\n  My pet returns the praise with a simple smile.;;;;;;;;;;;;;x
LFSexytimesFemale7MaleAnal;I push [lf_sex_partner.GetFirstName] onto the bed and climb on top of him. Gliding up his body, my breasts rub against his chest, sending a ripple of pleasure up my spine. He looks up at me with those submissive eyes that I always love as his erect shaft prods and pokes at my wet slit. I am content to tease my pet just a little longer, letting his cock lubricate itself on my juices. Just as she expects me to sink down and let my folds engulf him, I pull back to sit upright, and give my pet a knowing smirk. Reaching back with one hand, I wrap my fingers around his cock and guide it to my other hole. My cheeks spread easily from the already wet cock, and- with one swift downward thrust- penetrate myself onto my pet. The pain of being taken in the ass swiftly subsides, and only pleasure remains.\n  "Fuck me, pet," I command as my fingers move down from [lf_sex_partner.GetFirstName]'s shaft to his own sack, fondling and stroking the flesh. A groan slips from the lips of my little lover, and soon his hands reach up to grasp and grope my breasts while she bucks his hips. The sensation of being filled is good enough that I allow my pet to roam and explore my body, so long as he continues being a good boy.\n  After what feels like an eternity of roughly riding my little submissive pet, I can hear his breaths getting quicker, and it isn't too long before my own orgasm starts to hit. We both explode in unison, with his cock painting my insides white with his creamy seed. Exhausted, I collapse upon [lf_sex_partner.GetFirstName]'s chest- his cock still buried to the hilt- and give him a gentle stroke on the cheek with a finger.\n  "You did well, my little pet."\n  My pet returns the praise with a simple smile.;;;;;;;;;;;;;x
LFSexytimesFemale7FutaCow;I push [lf_sex_partner.GetFirstName] onto the bed and climb on top of her. Gliding up her body, my breasts mingle with her own, sending a ripple of pleasure up my spine. She looks up at me with those submissive eyes that I always love. Grabbing a handful of her soft flesh, I roll and play with her nipples using my thumbs as her erect shaft prods and pokes at my wet slit. I am content to tease my pet just a little longer, letting her cock lubricate itself on my juices. Just as she expects me to sink down and let my folds engulf her, I pull back to sit upright, and give my pet a knowing smirk. Reaching back with one hand- the other hand still toying with her breast, I wrap my fingers around her cock and guide it to pussy. My labia spreads easily from the already wet cock, and- with one swift downward thrust- penetrate myself onto my pet.\n  "Fuck me, pet," I command as my fingers move down from [lf_sex_partner.GetFirstName]'s shaft to her own pussy. A groan slips from the lips of my little lover, and soon her hands reach up to grasp and grope my breasts while she bucks her hips. The sensation of being filled is good enough that I allow my pet to roam and explore my body, so long as she continues being a good girl.\n  After what feels like an eternity of roughly riding my little submissive pet, I can hear her breaths getting quicker, and it isn't too long before my own orgasm starts to hit. The fire within my womb explodes, washing my entire body with that pleasurable feeling I so craved. Feeling my pet's thrusts get harder and deeper, I say to her...;;;;;;;;;;;;;x
